arbitro_principal	arbitro_principal_quadro_fifa	aux1_quadro_fifa	aux2_quadro_fifa	auxiliares	cidade	clubem	clubev	estado_m	estado_v	clássico	data	estadio	hora	ingressos_disponiveis	porcentagem_ingresso_vendido	observacoes	Publico_pagante	placar_mandante	placar_visitante	quarto_arbitro	quarto_arbitro_quadro_fifa	renda_bruta	renda_liq	ano	rodada	vitoria_mandante	empate_mandante	derrota_mandante	vitoria_visitante	empate_vvisitante	derrota_visitante	mandante_posicao_final_rodada	Visitante_posicao_final_rodada	mandante_posicao_inicio_rodada	Visitante_posicao_inicio_rodada	final de semana
Antônio Denival de Morais-PR	N	N	N	Luiz H. Souza Santos Renesto-PR_e_Arestides Pereira da Silva Jr.-PR	Porto Alegre	Grêmio-RS	Portuguesa-SP	RS	SP	0	15/08	Olímpico	19h30	28813	54.8		15798	1	2	Roger Goulart-RS	N	283912	142544.06	2012	17	0	0	1	1	0	0	4	11	4	12	0
Paulo Henrique Godoy Bezerra-SC	N	N	N	Ângelo Rudimar Bechi-SC_e_Helton Nunes-SC	Belo Horizonte	Cruzeiro-MG	Fluminense-RJ	MG	RJ	0	15/08	Independência	19h30	14664	92.4		13551	1	1	Cleisson Veloso Pereira-MG	N	366600	135476.81	2012	17	0	1	0	0	1	0	7	2	6	2	0
Marcos André Gomes-ES	N	N	N	Fabiano da Silva Ramires-ES_e_César Augusto de Oliveira Vaz-TO	Goiânia	Atlético Goianiense-GO	Atlético Mineiro-MG	GO	MG	0	15/08	Serra Dourada	20h30	10100	76.5		7729	1	1	Wellington Ferreira Branquinho-GO	N	219860	156762.08	2012	17	0	1	0	0	1	0	19	1	20	1	0
Wagner dos Santos Rosa-RJ	N	N	N	Jackson L. Massarra dos Santos-RJ_e_Paulo César Silva Faria-MT	Campinas	Ponte Preta-SP	Bahia-BA	SP	BA	0	15/08	Moisés Lucarelli	20h30	5605	76		4259	0	2	Leandro Bizzio Marinho-SP	N	38269	-23041.84	2012	17	0	0	1	1	0	0	12	17	11	18	0
Antônio Rogério Batista do Prado-SP	N	N	N	Carlos Augusto Nogueira Júnior-SP_e_Bruno Salgado Rizo-SP	Rio de Janeiro	Botafogo-RJ	Sport-PE	RJ	PE	0	15/08	Engenhão	21h50	5942	41.3		2457	2	0	Daniel de Souza Macedo-RJ	N	69235	-44137.03	2012	17	1	0	0	0	0	1	6	18	8	17	0
Célio Amorim-SC	N	N	N	Rosnei Hoffmann Scherer-SC_e_Ezequiel Barbosa Alves-MS	Barueri	Palmeiras-SP	Flamengo-RJ	SP	RJ	0	15/08	Arena Barueri	21h50	8805	85.2		7500	1	0	Flávio Rodrigues Guerra-SP	N	279140	165684.61	2012	17	1	0	0	0	0	1	15	10	15	9	0
José de Caldas Souza-TO	N	N	N	Carlos Emanuel-DF_e_Lúcio I. R. da Silva de Mattos-PA	Recife	Náutico-PE	São Paulo-SP	PE	SP	0	15/08	Aflitos	21h50	13273	91.7		12172	3	0	Nielson Nogueira Dias-PE	N	233450	188167.74	2012	17	1	0	0	0	0	1	14	8	14	6	0
Jaílson Macedo Freitas-BA	N	N	N	Luiz Carlos Silva Teixeira-BA_e_José Carlos Oliveira dos Santos-BA	Rio de Janeiro	Vasco-RJ	Coritiba-PR	RJ	PR	0	16/08	São Januário	21h00	7205	69.6		5013	2	2	João Batista de Arruda-RJ	N	161220	-25034.34	2012	17	0	1	0	0	1	0	3	16	3	15	0
André Luiz de Freitas Castro-GO	N	N	N	Cristhian Passos Sorence-GO_e_Márcio Soares-GO	São Paulo	Corinthians-SP	Internacional-RS	SP	RS	0	16/08	Pacaembu	21h00	27347	99.8		27282	1	0	Guilherme Ceretta de Lima-SP	N	769271.06	453816.45	2012	17	1	0	0	0	0	1	9	5	9	5	0
Emerson de Almeida Ferreira-MG	N	N	N	Marcus Vinicius Gomes-MG_e_Celso Luiz da Silva-MG	Florianópolis	Figueirense-SC	Santos-SP	SC	SP	0	16/08	Orlando Scarpelli	21h00	10993	100		10993	1	3	Carlos Eduardo Vieira Areas-SC	N	188445	145680.75	2012	17	0	0	1	1	0	0	19	12	19	13	0
Ricardo Marques Ribeiro-MG	S	S	N	Janette Mara Arcanjo-MG_e_Marcus Vinicius Gomes-MG	Recife	Náutico-PE	Bahia-BA	PE	BA	0	18/08	Aflitos	18h30	13150	95.5		12558	1	0	Eneias F. Leite de Oliveira-PE	N	244550	196269.44	2012	18	1	0	0	0	0	1	13	17	14	17	1
Leandro Pedro Vuaden-RS	S	S	N	Tatiana Jacques de Freitas-RS_e_Rafael da Silva Alves-RS	Volta Redonda	Fluminense-RJ	Sport-PE	RJ	PE	0	18/08	Raulino de Oliveira	18h30	15946	33.1		5283	1	0	Rodrigo Carvalhães de Miranda-RJ	N	68590	-7087.71	2012	18	1	0	0	0	0	1	2	19	2	18	1
Rodrigo Guarizo Ferreira do Amaral-SP	N	N	N	Alex Alexandrino-SP_e_Ricardo Pavanelli Lanutto-SP	São Paulo	São Paulo-SP	Ponte Preta-SP	SP	SP	1	18/08	Morumbi	21h00	13019	59.3		7726	3	0	Vinícius Furlan-SP	N	192045	106387.28	2012	18	1	0	0	0	0	1	6	16	8	12	1
Flávio Rodrigues Guerra-SP	N	S	S	Marcelo Carvalho Van Gasse-SP_e_Emerson Augusto de Carvalho-SP	Santos	Santos-SP	Corinthians-SP	SP	SP	1	19/08	Vila Belmiro	16h00	12413	100		12413	3	2	Marcelo Aparecido Ribeiro de Souza-SP	N	276615	116630.38	2012	18	1	0	0	0	0	1	11	9	12	9	1
Anderson Daronco-RS	N	S	N	Altemir Hausmann-RS_e_Bruno Boschilla-PR	Belo Horizonte	Atlético Mineiro-MG	Botafogo-RJ	MG	RJ	0	19/08	Independência	16h00	19903	100		19903	3	2	Renato Cardoso Conceição-MG	N	723495	274319.11	2012	18	1	0	0	0	0	1	1	7	1	6	1
Francisco Carlos Nascimento-AL	S	S	N	Carlos Berkenbrock-SC_e_Kléber Lúcio Gil-SC	Curitiba	Coritiba-PR	Cruzeiro-MG	PR	MG	0	19/08	Couto Pereira	16h00	11739	100		11739	4	0	Leandro Júnior Hermes-PR	N	154689	-53420.83	2012	18	1	0	0	0	0	1	14	10	16	7	1
Wilson Luiz Seneme-SP	S	S	N	Fabrício Vilarinho da Silva-GO_e_Thiago Gomes Brigido-CE	Porto Alegre	Grêmio-RS	Figueirense-SC	RS	SC	0	19/08	Olímpico	16h00	29302	62.1		18205	4	0	Jean Pierre Gonçalves Lima-RS	N	380899	219475.6	2012	18	1	0	0	0	0	1	3	20	4	19	1
Nielson Nogueira Dias-PE	N	N	N	Fábio Pereira-TO_e_Guilherme Dias Camilo-MG	São Paulo	Portuguesa-SP	Internacional-RS	SP	RS	0	19/08	Canindé	18h30	4894	89.2		4365	1	1	Leandro Bizzio Marinho-SP	N	122780	55697.85	2012	18	0	1	0	0	1	0	12	5	11	5	1
Marcelo de Lima Henrique-RJ	S	S	N	Rodrigo Pereira Joia-RJ_e_Ediney Guerreiro Mascarenhas-RJ	Rio de Janeiro	Flamengo-RJ	Vasco-RJ	RJ	RJ	1	19/08	Engenhão	18h30	28577	54.1		15459	1	0	Eduardo Cordeiro Guimarães-RJ	N	403835	62852.60 78565.75	2012	18	1	0	0	0	0	1	8	4	10	3	1
Sandro Meira Ricci-PE	S	S	S	Alessandro Álvaro Rocha Mattos-BA_e_Márcio Eustáquio Santiago-MG	Goiânia	Atlético Goianiense-GO	Palmeiras-SP	GO	SP	0	19/08	Serra Dourada	18h30	15100	65.9		9955	2	1	Fabrício Nery Trindade-GO	N	273110	196963.78	2012	18	1	0	0	0	0	1	18	15	19	15	1
Marcelo de Lima Henrique-RJ	S	S	N	Rodrigo Pereira Joia-RJ_e_Jackson L. Massarra dos Santos-RJ	Rio de Janeiro	Vasco-RJ	Fluminense-RJ	RJ	RJ	1	25/08	Engenhão	18h30	14244	68.3		9729	1	2	João Batista de Arruda-RJ	N	288880	-10326.65 -10326.65	2012	19	0	0	1	1	0	0	4	1	4	2	1
Guilherme Ceretta de Lima-SP	N	N	N	Márcio Luiz Augusto-SP_e_Danilo Ricardo Simon Manis-SP	São Paulo	Palmeiras-SP	Santos-SP	SP	SP	1	25/08	Pacaembu	18h30	21308	99.4		21171	1	2	Flávio Rodrigues de Souza-SP	N	772640	484651.23	2012	19	0	0	1	1	0	0	15	9	15	11	1
Luiz Flávio de Oliveira-SP	N	N	N	Carlos Augusto Nogueira Júnior-SP_e_Rogério Pablos Zanardo-SP	Campinas	Ponte Preta-SP	Portuguesa-SP	SP	SP	1	25/08	Moisés Lucarelli	21h00	4735	71.3		3376	2	1	Thiago Duarte Peixoto-SP	N	23925	-36358.08	2012	19	1	0	0	0	0	1	13	13	16	12	1
Leandro Pedro Vuaden-RS	S	S	N	Altemir Hausmann-RS_e_Rafael da Silva Alves-RS	Porto Alegre	Internacional-RS	Grêmio-RS	RS	RS	1	26/08	Beira-Rio	16h00	8844	100		8844	0	1	Jean Pierre Gonçalves Lima-RS	N	176420	91090.43	2012	19	0	0	1	1	0	0	5	3	5	3	1
Péricles Bassols Pegado Cortez-RJ	S	N	N	Marco Aurélio Santos Pessanha-RJ_e_Rodrigo F. Henrique Correa-RJ	Rio de Janeiro	Botafogo-RJ	Flamengo-RJ	RJ	RJ	1	26/08	Engenhão	16h00	19185	78.7		15090	0	0	Daniel de Souza Macedo-RJ	N	440905	73872.93 73872.93	2012	19	0	1	0	0	1	0	7	8	7	8	1
Wilson Luiz Seneme-SP	S	S	N	Marcelo Carvalho Van Gasse-SP_e_Herman Brumel Vani-SP	São Paulo	Corinthians-SP	São Paulo-SP	SP	SP	1	26/08	Pacaembu	16h00	34948	99.7		34843	1	2	Guilherme Ceretta de Lima-SP	N	1075972.56	719751.46	2012	19	0	0	1	1	0	0	11	6	9	6	1
Marcos André Gomes-ES	N	N	N	Cristhian Passos Sorence-GO_e_Paulo César Silva Faria-MT	Florianópolis	Figueirense-SC	Coritiba-PR	SC	PR	0	26/08	Orlando Scarpelli	16h00	5145	100		5145	3	1	Paulo Henrique Godoy Bezerra-SC	N	64490	37313.9	2012	19	1	0	0	0	0	1	20	16	20	14	1
Nielson Nogueira Dias-PE	N	S	N	Márcio Eustáquio Santiago-MG_e_Guilherme Dias Camilo-MG	Belo Horizonte	Cruzeiro-MG	Atlético Mineiro-MG	MG	MG	1	26/08	Independência	18h30	20196	88.6		17901	2	2	Cleisson Veloso Pereira-MG	N	482270	149824.05	2012	19	0	1	0	0	1	0	10	1	10	1	1
Sandro Meira Ricci-PE	S	N	N	José P. Wanderlei da Silva-PE_e_Clóvis Amaral da Silva-PE	Recife	Sport-PE	Náutico-PE	PE	PE	1	26/08	Ilha do Retiro	18h30	22620	75.4		17066	0	0	Gilberto Rodrigues Castro Júnior-PE	N	325020	248634.24	2012	19	0	1	0	0	1	0	19	12	19	13	1
Marcelo Aparecido Ribeiro de Souza-SP	N	N	N	Thiago Gomes Brigido-CE_e_Lúcio I. R. da Silva de Mattos-PA	Salvador	Bahia-BA	Atlético Goianiense-GO	BA	GO	0	26/08	Pituaçu	18h30	11523	94.6		10901	1	1	Johnn Herbert Alves Bispo-BA	N	135135	50152.62	2012	19	0	1	0	0	1	0	17	18	17	18	1
Marcelo de Lima Henrique-RJ	S	N	N	Ediney Guerreiro Mascarenhas-RJ_e_Rodrigo F. Henrique Correa-RJ	Santos	Santos-SP	Bahia-BA	SP	BA	0	29/08	Vila Belmiro	19h30	9078	94.9		8612	1	3	Vinícius Furlan-SP	N	186425	59766.32	2012	20	0	0	1	1	0	0	12	16	9	17	0
Péricles Bassols Pegado Cortez-RJ	S	N	N	Marco Aurélio Santos Pessanha-RJ_e_Eduardo de Souza Couto-RJ	Curitiba	Coritiba-PR	Internacional-RS	PR	RS	0	29/08	Couto Pereira	19h30	12200	100		12200	1	0	Fábio Filipus-PR	N	203852	-4778.27	2012	20	1	0	0	0	0	1	15	6	16	5	0
Wagner Reway-MT	N	S	N	Márcio Eustáquio Santiago-MG_e_Guilherme Dias Camilo-MG	Recife	Náutico-PE	Figueirense-SC	PE	SC	0	29/08	Aflitos	20h30	12071	90.1		10880	3	2	Cláudio Mercante Júnior-PE	N	187225	146140.74	2012	20	1	0	0	0	0	1	12	20	12	20	0
Wilton Pereira Sampaio-GO	N	N	N	Cristhian Passos Sorence-GO_e_Nadine Schramm Camara Bastos-SC	Belo Horizonte	Atlético Mineiro-MG	Ponte Preta-SP	MG	SP	0	29/08	Independência	20h30	19442	95.9		18644	2	2	Cleisson Veloso Pereira-MG	N	588140	255370.54	2012	20	0	1	0	0	1	0	1	14	1	13	0
Wilson Luiz Seneme-SP	S	N	N	Anderson José de Moraes Coelho-SP_e_Herman Brumel Vani-SP	São Paulo	Portuguesa-SP	Palmeiras-SP	SP	SP	1	29/08	Canindé	20h30	8808	85.5		7531	3	0	Leandro Bizzio Marinho-SP	N	214390	127514.59	2012	20	1	0	0	0	0	1	11	17	13	15	0
Márcio Chagas da Silva-RS	N	N	N	Bruno Boschilla-PR_e_Neuza Inês Back-SC	Goiânia	Atlético Goianiense-GO	Cruzeiro-MG	GO	MG	0	29/08	Serra Dourada	22h00	8100	33		2675	0	2	Eduardo Tomaz de Aquino Valadão-GO	N	66010	33572.78	2012	20	0	0	1	1	0	0	19	7	18	10	0
Sandro Meira Ricci-PE	S	S	N	Altemir Hausmann-RS_e_Kléber Lúcio Gil-SC	Rio de Janeiro	Fluminense-RJ	Corinthians-SP	RJ	SP	0	29/08	Engenhão	22h00	10320	71.3		7358	1	1	Wagner dos Santos Rosa-RJ	N	157420	-3074.97	2012	20	0	1	0	0	1	0	2	10	1	11	0
Luiz Flávio de Oliveira-SP	N	S	S	Marcelo Carvalho Van Gasse-SP_e_Fabrício Vilarinho da Silva-GO	Porto Alegre	Grêmio-RS	Vasco-RJ	RS	RJ	0	29/08	Olímpico	22h00	29827	59.6		17770	2	0	Roger Goulart-RS	N	336645.5	179693.98	2012	20	1	0	0	0	0	1	3	5	3	4	0
Jean Pierre Gonçalves Lima-RS	N	S	N	Carlos Berkenbrock-SC_e_Fábio Pereira-TO	São Paulo	São Paulo-SP	Botafogo-RJ	SP	RJ	0	30/08	Morumbi	21h00	17122	91		15576	4	0	Rodrigo Braghetto-SP	N	321238	204628.88	2012	20	1	0	0	0	0	1	4	7	6	7	0
Ricardo Marques Ribeiro-MG	S	S	S	Alessandro Álvaro Rocha Mattos-BA_e_Tatiana Jacques de Freitas-RS	Volta Redonda	Flamengo-RJ	Sport-PE	RJ	PE	0	30/08	Raulino de Oliveira	21h00	15400	39.2		6035	1	1	Eduardo Cordeiro Guimarães-RJ	N	111310	13115.24	2012	20	0	1	0	0	1	0	7	18	8	19	0
Sandro Meira Ricci-PE	S	S	N	Fabrício Vilarinho da Silva-GO_e_Bruno Boschilla-PR	São Paulo	Palmeiras-SP	Grêmio-RS	SP	RS	0	01/09	Pacaembu	18h30	12455	93		11586	0	0	Vinícius Furlan-SP	N	423806	202920.94	2012	21	0	1	0	0	1	0	17	3	17	3	1
Ricardo Marques Ribeiro-MG	S	S	N	Marcelo Carvalho Van Gasse-SP_e_Márcio Luiz Augusto-SP	Florianópolis	Figueirense-SC	Fluminense-RJ	SC	RJ	0	01/09	Orlando Scarpelli	18h30	8943	100		8943	2	2	Paulo Henrique Godoy Bezerra-SC	N	195770	151381.5	2012	21	0	1	0	0	1	0	19	1	20	2	1
Heber Roberto Lopes-PR	S	N	N	Thiago Gomes Brigido-CE_e_Carolina Romanholi Melo-CE	Rio de Janeiro	Vasco-RJ	Portuguesa-SP	RJ	SP	0	01/09	São Januário	21h00	6853	36		2464	2	0	Rodrigo Carvalhães de Miranda-RJ	N	74780	-40630.12	2012	21	1	0	0	0	0	1	4	13	5	11	1
Péricles Bassols Pegado Cortez-RJ	S	S	N	Altemir Hausmann-RS_e_Fábio Pereira-TO	São Paulo	Corinthians-SP	Atlético Mineiro-MG	SP	MG	0	02/09	Pacaembu	16h00	33508	99.6		33375	1	0	Guilherme Ceretta de Lima-SP	N	1088599.72	749469.03	2012	21	1	0	0	0	0	1	10	1	10	1	1
Wilson Luiz Seneme-SP	S	S	S	Roberto Braatz-PR_e_Márcio Eustáquio Santiago-MG	Porto Alegre	Internacional-RS	Flamengo-RJ	RS	RJ	0	02/09	Beira-Rio	16h00	10413	100		10413	4	1	Francisco Pereira Neto-RS	N	194550	114349.01	2012	21	1	0	0	0	0	1	6	9	6	7	1
Francisco Carlos Nascimento-AL	S	S	N	Lilian da Silva Fernandes Bruno-RJ_e_Rodrigo F. Henrique Correa-RJ	Recife	Sport-PE	Santos-SP	PE	SP	0	02/09	Ilha do Retiro	16h00	22944	87.9		20171	2	1	Sebastião Rufino Ribeiro Filho-PE	N	423525	319445.59	2012	21	1	0	0	0	0	1	17	12	18	12	1
Márcio Chagas da Silva-MG	N	S	N	Janette Mara Arcanjo-MG_e_Fabiano da Silva Ramires-PA	Salvador	Bahia-BA	São Paulo-SP	BA	SP	0	02/09	Pituaçu	16h00	26595	97.6		25945	1	0	Lúcio José Silva de Araújo-BA	N	617460	388660.16	2012	21	1	0	0	0	0	1	15	5	16	4	1
Elmo Alves Resende Cunha-GO	N	N	N	Cristhian Passos Sorence-GO_e_Ediney Guerreiro Mascarenhas-RJ	Belo Horizonte	Cruzeiro-MG	Náutico-PE	MG	PE	0	02/09	Independência	18h30	13691	85.3		11673	3	0	Marcos Vinícius de Sá dos Santos-MG	N	271985	97039.94	2012	21	1	0	0	0	0	1	7	14	7	12	1
Nielson Nogueira Dias-PE	N	N	N	Marcelo Bertanha Barison-RS_e_Ivan Carlos Bohn-PR	Campinas	Ponte Preta-SP	Atlético Goianiense-GO	SP	GO	0	02/09	Moisés Lucarelli	18h30	5749	82.8		4762	3	1	Flávio Rodrigues de Souza-SP	N	39712	-24302.8	2012	21	1	0	0	0	0	1	11	19	14	19	1
Leandro Pedro Vuaden-RS	S	N	N	Kléber Lúcio Gil-SC_e_Carlos Augusto Nogueira Júnior-SP	Rio de Janeiro	Botafogo-RJ	Coritiba-PR	RJ	PR	0	02/09	Engenhão	18h30	4636	56.4		2616	2	0	Pathrice Wallace Correa Maia-RJ	N	74915	-41243.66	2012	21	1	0	0	0	0	1	8	15	7	15	1
Elmo Alves Resende Cunha-GO	N	N	N	Guilherme Dias Camilo-MG_e_Marcus Vinicius Gomes-MG	Volta Redonda	Flamengo-RJ	Ponte Preta-SP	RJ	SP	0	05/09	Raulino de Oliveira	19h30	15400	17.1		2627	0	1	Pathrice Wallace Correa Maia-RJ	N	46585	38732.3	2012	22	0	0	1	1	0	0	12	9	9	11	0
Leandro Pedro Vuaden-RS	S	N	N	Marcelo Bertanha Barison-RS_e_José Javel Silveira-RS	Recife	Náutico-PE	Vasco-RJ	PE	RJ	0	05/09	Aflitos	19h30	12879	89.6		11541	1	1	Gilberto Rodrigues Castro Júnior-PE	N	213700	169542.39	2012	22	0	1	0	0	1	0	13	4	14	4	0
Pablo dos Santos Alves-ES	N	N	N	Fabiano da Silva Ramires-ES_e_Rogério Pablos Zanardo-SP	Salvador	Bahia-BA	Atlético Mineiro-MG	BA	MG	0	05/09	Pituaçu	19h30	22217	88.4		19629	0	0	Lúcio José Silva de Araújo-BA	N	426750	254552.37	2012	22	0	1	0	0	1	0	15	2	15	1	0
Fabrício Neves Correa-RS	N	N	N	Wagner de Almeida Santos-RJ_e_Paulo César Silva Faria-MT	São Paulo	Portuguesa-SP	Coritiba-PR	SP	PR	0	05/09	Canindé	19h30	2395	66.8		1600	3	0	Flávio Rodrigues de Souza-SP	N	38870	-3181.7	2012	22	1	0	0	0	0	1	9	17	13	15	0
Ronan Marques da Rosa-SC	N	S	N	Roberto Braatz-PR_e_Kléber Lúcio Gil-SC	Porto Alegre	Grêmio-RS	Atlético Goianiense-GO	RS	GO	0	05/09	Olímpico	20h30	29525	73.9		21832	2	1	Francisco Pereira Neto-RS	N	559923	364150.95	2012	22	1	0	0	0	0	1	3	20	3	19	0
Luiz Flávio de Oliveira-SP	N	S	N	Altemir Hausmann-RS_e_Rafael da Silva Alves-RS	Belo Horizonte	Cruzeiro-MG	Botafogo-RJ	MG	RJ	0	05/09	Independência	22h00	14345	97.3		13957	1	3	Renato Cardoso Conceição-MG	N	335880	106709.93	2012	22	0	0	1	1	0	0	8	7	7	8	0
Márcio Chagas da Silva-RS	N	N	N	Bruno Boschilla-PR_e_Ivan Carlos Bohn-PR	Florianópolis	Figueirense-SC	Corinthians-SP	SC	SP	0	05/09	Orlando Scarpelli	22h00	11142	100		11142	1	0	Jefferson Schmidt-SC	N	250260	200167.15	2012	22	1	0	0	0	0	1	19	9	19	10	0
Ricardo Marques Ribeiro-MG	S	S	N	Rodrigo Pereira Joia-RJ_e_Rodrigo F. Henrique Correa-RJ	São Paulo	São Paulo-SP	Internacional-RS	SP	RS	0	05/09	Morumbi	22h00	17002	83.3		14171	1	1	Guilherme Ceretta de Lima-SP	N	276536	163650.79	2012	22	0	1	0	0	1	0	5	5	5	6	0
André Luiz de Freitas Castro-GO	N	S	N	Márcio Eustáquio Santiago-MG_e_Thiago Gomes Brigido-CE	Rio de Janeiro	Fluminense-RJ	Santos-SP	RJ	SP	0	06/09	Engenhão	21h00	15150	85.9		13007	3	1	Leonardo Garcia Cavaleiro-RJ	N	238450	61092.74	2012	22	1	0	0	0	0	1	1	13	1	12	0
Marcelo de Lima Henrique-RJ	S	N	N	Cristhian Passos Sorence-GO_e_Ediney Guerreiro Mascarenhas-RJ	São Paulo	Palmeiras-SP	Sport-PE	SP	PE	0	06/09	Pacaembu	21h00	29761	98.8		29409	3	1	Antônio Rogério Batista do Prado-SP	N	599780	334699.26	2012	22	1	0	0	0	0	1	16	18	17	17	0
Péricles Bassols Pegado Cortez-RJ	S	S	N	Tatiana Jacques de Freitas-RS_e_Cristhian Passos Sorence-GO	Campinas	Ponte Preta-SP	Figueirense-SC	SP	SC	0	08/09	Moisés Lucarelli	18h30	5365	84.6		4541	2	2	Leandro Bizzio Marinho-SP	N	55043	-11723.79	2012	23	0	1	0	0	1	0	10	19	9	19	1
Sandro Meira Ricci-PE	S	S	N	Altemir Hausmann-RS_e_Fabiano da Silva Ramires-ES	Curitiba	Coritiba-PR	Flamengo-RJ	PR	RJ	0	08/09	Couto Pereira	18h30	12033	100		12033	3	0	Fábio Filipus-PR	N	249499	-25884.94	2012	23	1	0	0	0	0	1	15	12	17	12	1
Marcelo de Lima Henrique-RJ	S	S	N	Márcio Eustáquio Santiago-MG_e_Rodrigo F. Henrique Correa-RJ	São Paulo	Corinthians-SP	Grêmio-RS	SP	RS	0	08/09	Pacaembu	21h00	25025	99.3		24850	3	1	Antônio Rogério Batista do Prado-SP	N	719138.22	419006.12	2012	23	1	0	0	0	0	1	8	3	9	3	1
Wilton Pereira Sampaio-GO	N	S	N	Fabrício Vilarinho da Silva-GO_e_Guilherme Dias Camilo-MG	Porto Alegre	Internacional-RS	Fluminense-RJ	RS	RJ	0	09/09	Beira-Rio	16h00	6060	100		6060	0	1	Anderson Daronco-RS	N	111980	39045.23	2012	23	0	0	1	1	0	0	6	1	5	1	1
Marcelo Aparecido Ribeiro de Souza-SP	N	N	N	Márcio Luiz Augusto-SP_e_Anderson José de Moraes Coelho-SP	Santos	Santos-SP	São Paulo-SP	SP	SP	1	09/09	Vila Belmiro	16h00	7727	82.6		6379	0	0	Marcelo Prieto Alfieri-SP	N	153500	27925.98	2012	23	0	1	0	0	1	0	14	5	13	5	1
Jaílson Macedo Freitas-BA	N	N	N	Bruno Boschilla-PR_e_Thiago Gomes Brigido-CE	Rio de Janeiro	Botafogo-RJ	Náutico-PE	RJ	PE	0	09/09	Engenhão	16h00	15313	95.4		14612	3	1	João Batista de Arruda-RJ	N	308140	87561.82	2012	23	1	0	0	0	0	1	4	15	7	13	1
Raphael Claus-SP	N	S	N	Roberto Braatz-PR_e_Danilo Ricardo Simon Manis-SP	Rio de Janeiro	Vasco-RJ	Bahia-BA	RJ	BA	0	09/09	São Januário	18h30	7517	66.8		5018	0	4	Rodrigo Nunes de Sá-RJ	N	165680	-14333.1	2012	23	0	0	1	1	0	0	6	12	4	15	1
Leandro Pedro Vuaden-RS	S	S	N	Rodrigo Pereira Joia-RJ_e_Marcelo Bertanha Barison-RS	Belo Horizonte	Atlético Mineiro-MG	Palmeiras-SP	MG	SP	0	09/09	Independência	18h30	19028	94.8		18033	3	0	Marcos Vinícius de Sá dos Santos-MG	N	601235	254520.26	2012	23	1	0	0	0	0	1	2	17	2	16	1
André Luiz de Freitas Castro-GO	N	N	N	Rogério Pablos Zanardo-SP_e_Herman Brumel Vani-SP	Recife	Sport-PE	Cruzeiro-MG	PE	MG	0	09/09	Ilha do Retiro	18h30	16712	72.8		12165	2	1	Sebastião Rufino Ribeiro Filho-PE	N	199475	152578.09	2012	23	1	0	0	0	0	1	18	8	18	8	1
Grazianni Maciel Rocha-RJ	N	S	N	Carlos Berkenbrock-SC_e_Nadine Schramm Camara Bastos-SC	Goiânia	Atlético Goianiense-GO	Portuguesa-SP	GO	SP	0	09/09	Serra Dourada	18h30	4100	21.7		891	1	1	Roberto Giovanny-GO	N	18250	-3503.87	2012	23	0	1	0	0	1	0	20	11	20	9	1
Jaílson Macedo Freitas-BA	N	S	N	Márcio Eustáquio Santiago-MG_e_Fabiano da Silva Ramires-ES	São Paulo	Portuguesa-SP	Fluminense-RJ	SP	RJ	0	12/09	Canindé	19h30	4337	83.3		3613	0	2	Vinícius Furlan-SP	N	100760	41928.45	2012	24	0	0	1	1	0	0	11	1	11	1	0
Marcelo de Lima Henrique-RJ	S	S	N	Rodrigo Pereira Joia-RJ_e_Rodrigo F. Henrique Correa-RJ	Florianópolis	Figueirense-SC	Cruzeiro-MG	SC	MG	0	12/09	Orlando Scarpelli	19h30	6917	100		6917	2	0	Ronan Marques da Rosa-SC	N	81140	49123.9	2012	24	1	0	0	0	0	1	19	10	19	8	0
Rodrigo Braghetto-SP	N	N	N	Danilo Ricardo Simon Manis-SP_e_Bruno Salgado Rizo-SP	São Paulo	Corinthians-SP	Ponte Preta-SP	SP	SP	1	12/09	Pacaembu	19h30	20011	99.2		19844	1	1	José Cláudio Rocha Filho-SP	N	551183.72	279510.25	2012	24	0	1	0	0	1	0	8	9	8	10	0
Luiz Flávio de Oliveira-SP	N	N	N	Thiago Gomes Brigido-CE_e_Carlos Augusto Nogueira Júnior-SP	Recife	Sport-PE	Bahia-BA	PE	BA	0	12/09	Ilha do Retiro	20h30	19974	85.6		17107	1	1	Gilberto Rodrigues Castro Júnior-PE	N	295610	225000.54	2012	24	0	1	0	0	1	0	17	12	18	12	0
Ricardo Marques Ribeiro-MG	S	N	N	Fábio Pereira-TO_e_Guilherme Dias Camilo-MG	Goiânia	Atlético Goianiense-GO	Coritiba-PR	GO	PR	0	12/09	Serra Dourada	20h30	3100	22.5		697	1	2	Cléber Vaz-GO	N	14225	-7585.17	2012	24	0	0	1	1	0	0	20	13	20	15	0
Wilton Pereira Sampaio-GO	N	S	N	Altemir Hausmann-RS_e_Rafael da Silva Alves-RS	Rio de Janeiro	Vasco-RJ	Palmeiras-SP	RJ	SP	0	12/09	São Januário	22h00	4063	49.1		1996	3	1	João Batista de Arruda-RJ	N	67690	73845.7	2012	24	1	0	0	0	0	1	5	17	6	17	0
Márcio Chagas da Silva-RS	N	S	N	Fabrício Vilarinho da Silva-GO_e_Kléber Lúcio Gil-SC	Santos	Santos-SP	Flamengo-RJ	SP	RJ	0	12/09	Vila Belmiro	22h00	8895	90.1		8015	2	0	Rodrigo Guarizo Ferreira do Amaral-SP	N	181955	51813.48	2012	24	1	0	0	0	0	1	13	13	14	12	0
