unidade,pib2010,capita2010,pib2011,capita2011,pib2012,capita2012,pib2013,capita2013
Caçador,1541199,21788.35,1787038,25051.7,1890997,26305.5,2539851,34194.78
Caibi,98824,15893.26,113803,18328.66,108291,17469.12,127773,20365.41
Calmon,56994,16862.18,48405,14316.89,43082,12764.9,68220,19970.79
Camboriú,585977,9407.4,680311,10635.34,778638,11883.97,899909,12843.36
Campo Alegre,198052,16858.34,263923,22448.12,236918,20135.85,277846,23207.98
Campo Belo do Sul,109336,14605.36,132795,17848.74,138676,18745,149433,20141.9
Campo Erê,194599,20768.28,177564,19103.19,236055,25596.98,282906,30740.63
Campos Novos,1159506,35319.55,1276844,38606.83,1425000,42776.1,1637716,47627.41
Canelinha,128632,12131.69,128066,11939.81,141782,13073.46,164861,14607.59
Canoinhas,974111,18457.81,1097563,20766.33,1180552,22301.07,1340973,24847.11
Capão Alto,43128,15666,54415,19910.2,86828,32004.6,99700,36775.99
Capinzal,430915,20746.01,488332,23343.97,521314,24749.04,555353,25561.69
Capivari de Baixo,596306,27493.47,579059,26425.38,655159,29584.96,844882,36705.26
Catanduvas,185877,19447.25,207602,21506.48,219425,22514.36,264841,26190.8
Caxambu do Sul,99504,22583.82,116418,26787.29,130740,30525.39,135847,32282.98
Celso Ramos,34566,12465.35,40632,14689.73,32410,11742.67,43138,15450.5
Cerro Negro,30098,8395.62,38375,10834.38,42859,12234.92,56832,16368.55
Chapadão do Lageado,51383,18590.12,45548,16395.88,59891,21443.2,66530,23173.13
Chapecó,4559650,24839.97,5255559,28204.59,5787828,30615.01,6621742,33411.42
Cocal do Sul,316185,20841.43,354656,23227.16,393849,25614.56,468494,29539.32
Concórdia,1673022,24378.47,1853994,26850.81,1865735,26859.79,2354994,32937.44
Cordilheira Alta,189573,50058.83,203024,53161.49,156526,40456.55,189538,46880.58
Coronel Freitas,154014,15080.23,219164,21509.83,182622,17965.72,267395,26031.44
Coronel Martins,25015,10177.02,39688,16107.29,29028,11757.1,41064,16295.16
Correia Pinto,357111,24138.88,390924,26751.82,394906,27334.78,457883,32017.57
Corupá,285644,20621.15,339076,24209.34,351268,24815.81,400883,27241.27
